Name,Abbr.,Capital,Area (km²),Population 2000,Population 2010,Population 2021
Ghana,GHA,Accra,238533,18912079,24658823,30832019
Ahafo,AHF,Goaso,5196,381915,484210,564668
Ashanti,ASH,Kumasi,24389,3612950,4780380,5440463
Bono (Brong Ahafo),BON,Sunyani,11113,737667,922617,1208649
Bono East,BNE,Techiman,23248,695826,904156,1203400
Central,CEN,Cape Coast,9826,1593823,2201863,2859821
Eastern,EAS,Koforidua,19323,2106696,2633154,2925653
Greater Accra,ACC,Accra,3245,2905726,4010054,5455692
North East,NEA,Nalerigu,9070,332000,465005,658946
Northern,NOR,Tamale,26524,1125000,1544946,2310939
Oti,OTI,Dambai,11066,474484,636889,747248
Savannah,SAV,Damongo,34790,363000,469510,653266
Upper East,UEA,Bolgatanga,8842,920089,1046545,1301226
Upper West,UWE,Wa,18476,576583,702110,901502
Volta,VOL,Ho,9504,1160937,1481363,1659040
Western,WES,Takoradi,13842,1308203,1664586,2060585
Western North,WNO,Sefwi-Wiawso,10079,616374,711435,880921
